run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_2|d2|p0|first,summarization,sum_2,2,perturbed,0,first,0,0.0210052728652954,722,706,1.0226628895184136,,7,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d2|p1|first,summarization,sum_2,2,perturbed,1,first,0,0.0932779312133789,642,706,0.9093484419263456,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d2|p2|first,summarization,sum_2,2,perturbed,2,first,0,0.085415244102478,653,706,0.9249291784702548,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d2|p1|last,summarization,sum_2,2,perturbed,1,last,1,0.0198674201965332,640,706,0.906515580736544,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d2|p0|last,summarization,sum_2,2,perturbed,0,last,1,0.0079004168510437,693,706,0.9815864022662888,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d2|p2|last,summarization,sum_2,2,perturbed,2,last,1,0.0234853029251098,706,706,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p1|first,summarization,sum_3,2,perturbed,1,first,0,0.2092325687408447,584,749,0.7797062750333779,,6,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p0|first,summarization,sum_3,2,perturbed,0,first,0,0.1567833423614502,555,749,0.7409879839786382,,8,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p2|first,summarization,sum_3,2,perturbed,2,first,0,0.0380779504776001,749,749,1.0,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p0|last,summarization,sum_3,2,perturbed,0,last,1,0.0149399042129516,776,749,1.0360480640854473,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p1|last,summarization,sum_3,2,perturbed,1,last,1,0.028713583946228,812,749,1.0841121495327102,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d2|p2|last,summarization,sum_3,2,perturbed,2,last,1,0.0276768207550048,731,749,0.9759679572763684,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p0|first,summarization,sum_4,2,perturbed,0,first,0,0.0245004892349243,567,692,0.819364161849711,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p2|first,summarization,sum_4,2,perturbed,2,first,0,0.0280320048332214,619,692,0.8945086705202312,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p1|first,summarization,sum_4,2,perturbed,1,first,0,0.0324694514274597,601,692,0.8684971098265896,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p0|last,summarization,sum_4,2,perturbed,0,last,1,0.0050047039985656,661,692,0.9552023121387284,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p1|last,summarization,sum_4,2,perturbed,1,last,1,0.0249966382980346,598,692,0.8641618497109826,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d2|p2|last,summarization,sum_4,2,perturbed,2,last,1,0.0066850185394287,674,692,0.9739884393063584,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p0|first,summarization,sum_0,3,perturbed,0,first,0,0.0641838312149047,794,615,1.2910569105691057,,6,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p1|first,summarization,sum_0,3,perturbed,1,first,0,0.4161428213119507,602,615,0.9788617886178862,,5,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p2|first,summarization,sum_0,3,perturbed,2,first,0,0.5236220955848694,819,615,1.3317073170731708,,4,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p0|middle,summarization,sum_0,3,perturbed,0,middle,1,0.029336929321289,821,615,1.334959349593496,,7,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p1|middle,summarization,sum_0,3,perturbed,1,middle,1,0.0568276643753051,814,615,1.3235772357723576,,6,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p2|middle,summarization,sum_0,3,perturbed,2,middle,1,0.1828146576881408,983,615,1.5983739837398374,,6,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p0|last,summarization,sum_0,3,perturbed,0,last,2,0.0412879586219787,678,615,1.102439024390244,,7,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p1|last,summarization,sum_0,3,perturbed,1,last,2,0.0,615,615,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|p2|last,summarization,sum_0,3,perturbed,2,last,2,0.0039902925491333,627,615,1.0195121951219512,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p0|first,summarization,sum_1,3,perturbed,0,first,0,0.0655462741851806,593,868,0.6831797235023042,,6,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p1|first,summarization,sum_1,3,perturbed,1,first,0,0.0783208012580871,864,868,0.9953917050691244,,7,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p2|first,summarization,sum_1,3,perturbed,2,first,0,0.0997971296310424,621,868,0.7154377880184332,,7,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p0|middle,summarization,sum_1,3,perturbed,0,middle,1,0.0663647651672363,857,868,0.9873271889400922,,6,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p1|middle,summarization,sum_1,3,perturbed,1,middle,1,0.0466350317001342,654,868,0.7534562211981567,,7,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p2|middle,summarization,sum_1,3,perturbed,2,middle,1,0.0656713247299194,573,868,0.6601382488479263,,6,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p0|last,summarization,sum_1,3,perturbed,0,last,2,0.0561350584030151,628,868,0.7235023041474654,,7,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p1|last,summarization,sum_1,3,perturbed,1,last,2,0.0556558370590209,590,868,0.6797235023041475,,8,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d3|p2|last,summarization,sum_1,3,perturbed,2,last,2,0.271689236164093,1374,868,1.5829493087557605,,3,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p0|first,summarization,sum_2,3,perturbed,0,first,0,0.0331999063491821,719,683,1.0527086383601756,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p1|first,summarization,sum_2,3,perturbed,1,first,0,0.1308109760284423,607,683,0.8887262079062958,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p2|first,summarization,sum_2,3,perturbed,2,first,0,0.1370817422866821,605,683,0.8857979502196194,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p0|middle,summarization,sum_2,3,perturbed,0,middle,1,0.0574737787246704,825,683,1.2079062957540263,,6,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p1|middle,summarization,sum_2,3,perturbed,1,middle,1,0.0284441113471984,596,683,0.8726207906295754,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p2|middle,summarization,sum_2,3,perturbed,2,middle,1,0.0008764266967773,666,683,0.9751098096632504,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p0|last,summarization,sum_2,3,perturbed,0,last,2,0.0010982751846313,677,683,0.9912152269399708,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p1|last,summarization,sum_2,3,perturbed,1,last,2,0.0895612835884094,1113,683,1.629575402635432,,6,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d3|p2|last,summarization,sum_2,3,perturbed,2,last,2,0.1659003496170044,1020,683,1.493411420204978,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p0|first,summarization,sum_3,3,perturbed,0,first,0,0.2108947038650512,647,906,0.7141280353200883,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p1|first,summarization,sum_3,3,perturbed,1,first,0,0.2758105993270874,576,906,0.6357615894039735,,8,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p2|first,summarization,sum_3,3,perturbed,2,first,0,0.1737107038497924,742,906,0.8189845474613686,,5,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p0|middle,summarization,sum_3,3,perturbed,0,middle,1,0.0045561790466308,909,906,1.0033112582781456,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p1|middle,summarization,sum_3,3,perturbed,1,middle,1,0.075648009777069,762,906,0.8410596026490066,,10,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p2|middle,summarization,sum_3,3,perturbed,2,middle,1,0.0708818435668945,1001,906,1.1048565121412803,,7,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p0|last,summarization,sum_3,3,perturbed,0,last,2,0.0977638959884643,749,906,0.826710816777042,,9,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d3|p1|last,summarization,sum_3,3,perturbed,1,last,2,0.0366541147232055,787,906,0.8686534216335541,,10,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
