depth,mean_score,ci_lo,ci_hi,n
1,8.426666666666666,8.286666666666667,8.58,150
2,8.143333333333333,8.026666666666667,8.256666666666666,300
3,7.343820224719101,7.202247191011236,7.478651685393259,445
4,7.8545454545454545,7.713636363636364,7.988636363636363,440
