position,n,mean_divergence,ci_lo,ci_hi
first,300,0.16886751194794972,0.15595852099855737,0.182521604642272
last,290,0.1291259081199251,0.11601726713365518,0.14271268828161826
middle,295,0.1375774745213783,0.12345875899165361,0.152033157060712
